epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.80991,0,68.3661,0,0,0,0,0,0,139.482,0,2e-05,2e-05,2e-05
2,10.6942,0,68.2762,0,0,0,0,0,0,139.568,0,5.8812e-05,5.8812e-05,5.8812e-05
3,12.3972,0,67.7205,0,0,0,0,0,0,139.622,0,9.604e-05,9.604e-05,9.604e-05
4,14.1106,0,67.1153,0,0,0,0,0,0,139.68,0,0.000131684,0.000131684,0.000131684
5,15.8002,0,66.4042,0,0,0,0,0,0,139.786,0,0.000165744,0.000165744,0.000165744
6,17.4644,0,65.6494,0,0,0,0,0,0,139.963,0,0.00019822,0.00019822,0.00019822
7,19.1796,0,64.7264,0,0,0,0,0,0,139.873,0,0.000229112,0.000229112,0.000229112
8,20.8236,0,63.733,0,0,0,0,0,0,139.669,0,0.00025842,0.00025842,0.00025842
9,22.4327,0,62.8071,0,0,0,0,0,0,139.583,0,0.000286144,0.000286144,0.000286144
10,24.1219,0,62.162,0,0,0,0,0,0,139.585,0,0.000312284,0.000312284,0.000312284
11,25.7743,0,61.5111,0,0,0,0,0,0,139.485,0,0.00033684,0.00033684,0.00033684
12,27.3963,0,60.8124,0,0,0,0,0,0,139.392,0,0.000359812,0.000359812,0.000359812
13,29.0127,0,60.0043,0,0,0,0,0,0,139.261,0,0.0003812,0.0003812,0.0003812
14,30.6555,0,59.2516,0,0,0,0,0,0,139.241,0,0.000401004,0.000401004,0.000401004
15,32.265,0,58.1899,0,0,0,0,0,0,139.183,0,0.000419224,0.000419224,0.000419224
16,33.9267,0,57.2807,0,0,0,0,0,0,139.103,0,0.00043586,0.00043586,0.00043586
17,35.5515,0,56.2358,0,0,0,0,0,0,138.84,0,0.000450912,0.000450912,0.000450912
18,37.2142,0,55.1982,0,0,0,0,0,0,138.606,0,0.00046438,0.00046438,0.00046438
19,38.8545,0,54.2593,0,0,0,0,0,0,138.281,0,0.000476264,0.000476264,0.000476264
20,40.507,0,53.331,0,0,0,0,0,0,137.654,0,0.000486564,0.000486564,0.000486564
21,42.1422,0,52.3047,0,0,0,0,0,0,136.743,0,0.00049528,0.00049528,0.00049528
22,43.7909,0,51.3613,0,0,0,0,0,0,135.65,0,0.000502412,0.000502412,0.000502412
23,45.5058,0,50.2178,0,0,0,0,0,0,134.821,0,0.00050796,0.00050796,0.00050796
24,47.196,0,49.5216,0,0,0,0,0,0,133.59,0,0.000511924,0.000511924,0.000511924
25,48.8849,0,48.6971,0,0,0,0,0,0,132.226,0,0.000514304,0.000514304,0.000514304
26,50.5779,0,47.9275,0,0,0,0,0,0,131.566,0,0.0005151,0.0005151,0.0005151
27,52.2798,0,47.6563,0,0,0,0,0,0,131.437,0,0.000514312,0.000514312,0.000514312
28,53.8829,0,49.4574,0,0,0,0,0,0,131.437,0,0.00051194,0.00051194,0.00051194
29,55.6368,0,49.6015,0,0,0,0,0,0,130.823,0,0.000507984,0.000507984,0.000507984
30,57.4229,0,45.8484,0,0,0,0,0,0,129.955,0,0.000502444,0.000502444,0.000502444
31,59.0975,0,45.928,0,0,0,0,0,0,129.955,0,0.00049532,0.00049532,0.00049532
32,60.8719,0,46.5151,0,0,0,0,0,0,128.708,0,0.000486612,0.000486612,0.000486612
33,62.6812,0,45.1114,0,0,0,0,0,0,128.5,0,0.00047632,0.00047632,0.00047632
34,64.3195,0,45.2053,0,0,0,0,0,0,128.5,0,0.000464444,0.000464444,0.000464444
35,66.1175,0,44.3544,0,0,0,0,0,0,127.019,0,0.000450984,0.000450984,0.000450984
36,68.0277,0,43.643,0,0,0,0,0,0,125.927,0,0.00043594,0.00043594,0.00043594
37,69.6941,0,44.8599,0,0,0,0,0,0,125.927,0,0.000419312,0.000419312,0.000419312
38,71.4532,0,45.2343,0,0,0,0,0,0,126.438,0,0.0004011,0.0004011,0.0004011
39,73.2245,0,42.7646,0,0,0,0,0,0,137.53,0,0.000381304,0.000381304,0.000381304
40,74.8595,0,42.5792,0,0,0,0,0,0,137.53,0,0.000359924,0.000359924,0.000359924
41,76.6161,0,42.6351,0,0,0,0,0,0,135.12,0,0.00033696,0.00033696,0.00033696
42,78.3912,0,42.0589,0,0,0,0,0,0,150.077,0,0.000312412,0.000312412,0.000312412
43,80.0477,0,42.4085,0,0,0,0,0,0,150.077,0,0.00028628,0.00028628,0.00028628
44,81.8301,0,42.05,0,0,0,0,0,0,148.518,0,0.000258564,0.000258564,0.000258564
45,83.4627,0,41.4708,0,0,0,0,0,0,148.518,0,0.000229264,0.000229264,0.000229264
46,85.2129,0,41.459,0,0,0,0,0,0,145.27,0,0.00019838,0.00019838,0.00019838
47,86.8585,0,41.6953,0,0,0,0,0,0,145.27,0,0.000165912,0.000165912,0.000165912
48,88.6789,0,41.7567,0,0,0,0,0,0,133.835,0,0.00013186,0.00013186,0.00013186
49,90.3774,0,41.0081,0,0,0,0,0,0,133.835,0,9.6224e-05,9.6224e-05,9.6224e-05
50,92.2288,0,41.6062,0,0,0,0,0,0,135.535,0,5.9004e-05,5.9004e-05,5.9004e-05
